features,avg_score,std_score,dissimalirity_score,categorical
diasbp_last,0.056394497288878395,0.01970509678506866,0.46233809416045557,False
meanbp_last,0.13978505828700175,0.05515868501413761,0.5668783936942063,False
resprate_last,0.07378669542074431,0.03641691478700613,0.4879903496311198,False
tempc_last,0.1393306412227259,0.06276615193423427,0.6048464275999728,False
spo2_last,0.30894959703586455,0.35578440712697784,0.9160383706484302,False
bg_pao2_last,0.07465648320898548,0.03213751574134328,0.4961128916099929,False
bg_paco2_last,0.06656998234142764,0.034144579283028005,0.6564980627646766,False
bg_pao2fio2ratio_last,0.07941355309825698,0.043271741411310016,0.7207303546941043,False
bg_ph_last,0.06847664675550724,0.021920031424268557,0.4211096091364214,False
bg_baseexcess_last,0.17507558268857185,0.11078954559825525,0.8336181032071427,False
albumin_last,0.13545169486662126,0.07268824834010404,0.6555437978996395,False
bands_last,0.057589260506921584,0.03562924531540546,0.8019991608997841,False
bicarbonate_last,0.13188015725690974,0.07852356751009641,0.4888551972620823,False
bilirubin_last,0.12235026272808798,0.07246595935117832,0.8317982258419416,False
bun_last,0.08133008831529843,0.03655232200473272,0.3846077383022248,False
calcium_last,0.1266034789922592,0.07555129132630274,0.6582638255865991,False
creatinine_last,0.1272118271694079,0.0635375362663916,0.609018478657121,False
glucose_last,0.08457591819267989,0.04538916590203522,0.7053367420341762,False
hematocrit_last,0.07752459639758251,0.032084576001210265,0.6308337451317945,False
hemoglobin_last,0.08536929118849097,0.0360498747214053,0.6281013546615863,False
inr_last,0.1426977829529188,0.06661622610979384,0.6476509528929946,False
lactate_last,0.130794212682756,0.06908587428611444,0.6363740842318969,False
platelet_last,0.07874869128148555,0.033804126365652915,0.5066105316220239,False
potassium_last,0.07405044002440052,0.029700284229925215,0.5502300299044949,False
sodium_last,0.09584293658510491,0.04634599915991427,0.6373043552315203,False
wbc_last,0.08968925689733921,0.0330862684660127,0.6257091191892263,False
heartrate_min,0.07725724046199213,0.04308843349863079,0.5985466196918008,False
sysbp_min,0.07800574042371225,0.037290469248004894,0.5142079027402405,False
diasbp_min,0.11786408482544763,0.07016668630473559,0.6687700693835794,False
meanbp_min,0.16850510179834322,0.07497705211752159,0.6340465455623985,False
resprate_min,0.1014053908824366,0.0463667305548085,0.6341992719446041,False
tempc_min,0.20070985675971945,0.09939107355970746,0.7040451708738177,False
spo2_min,0.31078404682150146,0.35486238544016696,0.9102748016455053,False
bg_pao2_min,0.07587229219137812,0.03422564690371838,0.68868838139148,False
bg_paco2_min,0.06902695466587647,0.03423992460419564,0.6112267095197632,False
bg_pao2fio2ratio_min,0.07857050708926454,0.04330696958759866,0.6891538095673291,False
bg_ph_min,0.06414598155113892,0.023835749337022066,0.6082292546809851,False
bg_baseexcess_min,0.19069721467871872,0.12064000740896232,0.7869935661773041,False
albumin_min,0.13575210546365368,0.07275117299830906,0.6719614868432232,False
bands_min,0.057880487321022814,0.03546217900464983,0.7417312567430449,False
bicarbonate_min,0.12925860238317946,0.08444832695904761,0.7083121890361416,False
bilirubin_min,0.12364700338095493,0.07233335827572741,0.7836310380683564,False
bun_min,0.08175807824516716,0.03796076005895126,0.47032341766445407,False
calcium_min,0.14470459644525344,0.07988837678575715,0.5345311377942226,False
creatinine_min,0.1339624537325726,0.0682056876503693,0.7197185421601889,False
glucose_min,0.14932814997087893,0.10233219643517678,0.6855607040175427,False
hematocrit_min,0.08000920628838636,0.03172050886990434,0.5190342969769903,False
hemoglobin_min,0.08657997427553228,0.036655985730334434,0.6304492979047336,False
inr_min,0.142241453663205,0.06600002726845794,0.6831111043867915,False
lactate_min,0.13228197483340023,0.07001163613269352,0.5833706608792739,False
platelet_min,0.07942447240790983,0.03507560918008896,0.6098576712497945,False
potassium_min,0.08523656940426164,0.038816785164636984,0.5391186023154854,False
sodium_min,0.10310585570453676,0.05521437179895348,0.7411826432410921,False
wbc_min,0.09630160272984535,0.03388836190261996,0.671072573208802,False
heartrate_max,0.05638331853557571,0.023600821722836465,0.6485507096331514,False
sysbp_max,0.07490841373676364,0.03418968335304137,0.563142919254697,False
diasbp_max,0.08051499354609562,0.03664985848333838,0.6016925207338836,False
meanbp_max,0.13457512304403507,0.04905189109626665,0.5982182668056484,False
resprate_max,0.1644577621064766,0.12010846089400586,0.7117102456007737,False
tempc_max,0.16019660295162735,0.10456402627312548,0.59788810667244,False
spo2_max,0.32110360592058,0.349695512243577,0.9067778993596362,False
bg_pao2_max,0.08255587337080678,0.027419125682900117,0.5143429972570492,False
bg_paco2_max,0.06602638379067612,0.02696819277341988,0.6024640741999733,False
bg_pao2fio2ratio_max,0.08087644346175607,0.04194559259729913,0.677502044350504,False
bg_ph_max,0.07299391471874975,0.02222895798408994,0.40882737862485696,False
bg_baseexcess_max,0.1663193193941271,0.10601794284330746,0.8606018609475309,False
albumin_max,0.13341973003270385,0.07074048607678358,0.6972216256379408,False
bands_max,0.05734894925681462,0.035817192804571296,0.8010192311554039,False
bicarbonate_max,0.1469629065348173,0.09273831994868993,0.661514825285013,False
bilirubin_max,0.12212563411610564,0.07280615117491242,0.7880584085236244,False
bun_max,0.08430794998435726,0.03752804644101137,0.7250705123036691,False
calcium_max,0.13577181057106602,0.070432001079332,0.6367835259362341,False
creatinine_max,0.1297866741898465,0.06278051324083664,0.5384749204354569,False
glucose_max,0.07613353867033149,0.02926545476954897,0.49171150437250905,False
hematocrit_max,0.08427073414850901,0.03625087737209324,0.6681647566630899,False
hemoglobin_max,0.08856562185782944,0.04265498178216089,0.5362937944578603,False
inr_max,0.13596363246099896,0.06825478563604147,0.7380655429626507,False
lactate_max,0.12700820555327305,0.06764491621872037,0.5884409566088524,False
platelet_max,0.08412587983942296,0.03744076250340196,0.7284944517156263,False
potassium_max,0.06983020885913374,0.026309376335021898,0.4574444524036139,False
sodium_max,0.10562964411610169,0.0536901559933298,0.6340790781026094,False
wbc_max,0.08197734119680453,0.027012041264127533,0.48389145046885107,False
urineoutput_sum,0.2866674310578206,0.13328486978822923,0.6523283076451698,False
age,0.03483944358005089,0.011811346294135426,0.4954930863092571,False
BMI,0.12049444042710455,0.09241414340750485,0.6450893675237325,False
is_female,0.019510338084185456,0.011311241124966759,0.6926275650635574,True
race_black,0.1496996622209707,0.08906329435479812,0.8380604516578198,True
race_hispanic,0.0230323154829829,0.030250345216751864,0.8216727554461252,True
race_asian,0.007847814446631244,0.004644109127701039,0.8463040774599535,True
race_other,0.1477208329402289,0.09570696320480963,0.8810426062550635,True
electivesurgery,0.0593465770985932,0.04040755162537203,0.6332326389284805,True
ACETAMIN,0.12675654029158234,0.0886329936526896,0.776328365424932,True
ADVAIR DISKUS,0.0,0.0,0.0,True
ALBUMIN,0.07696782389893697,0.06338751619136739,0.9795435305798819,True
ALBUTEROL,0.08617096082269901,0.05683631865653077,0.7530343486714692,True
ALLOPURINOL,0.008023265613920742,0.005287543598180593,0.9241663155129671,True
ALPRAZOLAM,0.026420668347300117,0.022999800989215138,0.7295542923396893,True
ALTEPLASE,0.028274542545454886,0.02127080889737773,0.7006507073395467,True
ALUM HYDROXIDE,0.05300376531711598,0.060347183914010186,0.7605999200596019,True
AMBIEN,0.0,0.0,0.0,True
AMINOCAPROIC ACID,0.022176308992987292,0.03449187332415666,0.9858016219588271,True
AMIODARONE,0.01947757498927007,0.014357037215819112,0.8787159012826357,True
AMLODIPINE,0.030937108991456127,0.018347331724571442,0.6712609561235203,True
ANTICOAGULANT,0.009364516206888229,0.01480660019966369,1.0,True
APRESOLINE,0.0,0.0,0.0,True
ASCORBIC ACID,0.0,0.0,0.0,True
ASPART,0.16791945602389285,0.13261365492383154,0.9743306531587819,True
ASPIRIN,0.14887768896550863,0.09145604904259827,0.8855928868789779,True
ATENOLOL,0.006705658193367421,0.009160483744463314,0.8647773519888304,True
ATORVASTATIN,0.09136873848251684,0.055504992137131476,0.7268644524597664,True
ATROPINE,0.026680453678552467,0.027317996073663427,1.0,True
ATROVENT,0.0,0.0,0.0,True
AZITHROMYCIN,0.011585584340218079,0.007516655563916444,0.9376387190443686,True
BACITRACIN,0.0020085362791865424,0.003175774702654661,1.0,True
BAYER CHEWABLE,0.0,0.0,0.0,True
BIOTENE,0.05185909980430528,0.08199643639379849,1.0,True
BISACODYL,0.09848578246214376,0.05796415143665556,0.6814571760751508,True
BUMETANIDE,0.0022857941983658587,0.002919885260403824,0.7929403202328967,True
BUMEX,0.0,0.0,0.0,True
BUMINATE,0.0,0.0,0.0,True
CALCIUM CARBONATE,0.010521692238869963,0.006825429496706205,0.8075262682439077,True
CALCIUM CHLORIDE,0.02093910632264253,0.03092385206308757,0.939622316068259,True
CALCIUM GLUCONATE,0.09975039532941263,0.07632760304465687,0.8923993551803914,True
CARDIZEM,0.0,0.0,0.0,True
CARVEDILOL,0.04440937254784925,0.0272176219193132,0.8201333705113537,True
CATAPRES,0.0,0.0,0.0,True
CEFAZOLIN,0.09464278534906405,0.0676542044326231,0.986507908279924,True
CEFEPIME,0.027825706278393134,0.020096853590579347,0.8174156924729322,True
CEFTRIAXONE,0.040273849311645196,0.02709962932529344,0.9032898587777173,True
CEPHULAC,0.0,0.0,0.0,True
CETIRIZINE,0.0,0.0,0.0,True
CHLORHEXIDINE,0.23706000793088874,0.1603653710518071,0.722356612074011,True
CIPROFLOXACIN,0.0027198657092636783,0.0028115775603793254,1.0,True
CISATRACURIUM,0.0,0.0,0.0,True
CITALOPRAM,0.008611014570293467,0.010173911022401302,0.6948594192905845,True
CLINDAMYCIN,0.0,0.0,0.0,True
CLONAZEPAM,0.00829803388107743,0.005245215805071987,0.7778622942624207,True
CLONIDINE,0.02225559110596155,0.023261258840840366,0.8565049252404462,True
CLOPIDOGREL,0.051174386452139536,0.031705825623459416,0.8069191562609093,True
COMPAZINE,0.0,0.0,0.0,True
COREG,0.0,0.0,0.0,True
COZAAR,0.0,0.0,0.0,True
DECADRON,0.0,0.0,0.0,True
DEFINITY,0.0,0.0,0.0,True
DELTASONE,0.0,0.0,0.0,True
DEXAMETHASONE,0.03794717168197683,0.03539072954923387,0.6812310945180585,True
DEXMEDETOMIDINE,0.06279774174089539,0.050167412525993334,0.9183332142881147,True
DEXTROSE,0.33089692742027266,0.22892183008052674,0.6106098782184823,True
DIAZEPAM,0.03172229049553777,0.028058112960001342,0.696553739433045,True
DIGOXIN,0.007797401840147562,0.005052402504643812,0.7816126724068355,True
DILTIAZEM,0.011727000593512584,0.009714084335892327,0.8503339705382821,True
DIPHENHYDRAMINE,0.030775241265640886,0.022894673052158945,0.8590383900123505,True
DIPRIVAN,0.0,0.0,0.0,True
DOCUSATE,0.13164261841462943,0.08907196959657936,0.8013797348335356,True
DOPAMINE,0.0,0.0,0.0,True
ECOTRIN,0.0,0.0,0.0,True
ENOXAPARIN,0.059402993842307884,0.04058382936665545,0.7661365848637433,True
EPHEDRINE,0.00010397171969224372,0.0001643937232360355,1.0,True
EPINEPHRINE,0.0017574692442882249,0.002778802864822828,1.0,True
ETOMIDATE,0.004229949629447715,0.004317420590171151,1.0,True
FAMOTIDINE,0.1342799138038527,0.09693206485222713,0.7273785313451403,True
FAT EMULSION,0.00035580857498665713,0.0005625827539883257,1.0,True
FENTANYL,0.22837276458494993,0.12922484673316567,0.7161920224035951,True
FERROUS,0.016923596302754786,0.012093119493985446,0.5928927346815098,True
FLAGYL,0.0,0.0,0.0,True
FLOMAX,0.0,0.0,0.0,True
FLUMAZENIL,0.0,0.0,0.0,True
FLUTICASONE-SALMETEROL,0.011996520104234102,0.01876514679978648,0.9907333477366449,True
FOLIC ACID,0.04103613750442255,0.046526030592508434,0.6917861339159961,True
FUROSEMIDE,0.07809376068456365,0.06729881454227137,0.8598346717401494,True
GABAPENTIN,0.032223509981920626,0.019555679821631915,0.7102402994672586,True
GLARGINE,0.03131757854897123,0.021103824115374207,0.8973398504766226,True
GLUCAGEN,0.0,0.0,0.0,True
GLUCAGON,0.10284275742200848,0.11877723555161956,0.6654704653285418,True
GLUCOSE,0.11533880466749896,0.10531942324423647,0.9287314008100295,True
GLYCOPYRROLATE,0.0037660055234747677,0.0059545775674774894,1.0,True
GUAIFENESIN,0.009808480428980467,0.010097091274969825,0.737117801252297,True
HALDOL,0.0,0.0,0.0,True
HALOPERIDOL,0.022690431059537514,0.02057060339735972,0.937435792546354,True
HEPARIN,0.18652678910076603,0.12039020379224794,0.8817895837823786,True
HUMULIN,0.0,0.0,0.0,True
HYDRALAZINE,0.11197200549266574,0.07847321382908139,0.8811536619034587,True
HYDROCHLOROTHIAZIDE,0.009523991008290808,0.005884396560055367,0.9818337598701398,True
HYDROCODONE,0.09670969085180627,0.05873638394370229,0.816854948326032,True
HYDROCORTISONE,0.018032459155628785,0.014544540895696598,0.93672297595813,True
HYDROMORPHONE,0.07166942991727529,0.06387159152599964,0.8099991406934199,True
IBUPROFEN,0.005826923571223308,0.007787558089921113,0.842240243986969,True
IMDUR,0.0,0.0,0.0,True
INFLUENZA VAC,0.015012188352279581,0.02373635392832684,1.0,True
INFUVITE,0.002002670226969292,0.0031664996597146654,1.0,True
INSULIN,0.2720585683415058,0.2552276395735407,0.7668855231985711,True
INSULIN DETEMIR,0.018103189436005068,0.02703741743276314,0.949836373553118,True
IOHEXOL,0.0,0.0,0.0,True
IOPAMIDOL,0.025621887078700226,0.02631733388478749,0.705487037975634,True
IPRATROPIUM,0.05631713305413033,0.03386583581796443,0.6639347249305816,True
ISOSORBIDE,0.010863596709037401,0.011834434393558576,0.9774295551964023,True
KAYCIEL,0.0,0.0,0.0,True
KAYEXALATE,0.0,0.0,0.0,True
KEPPRA,0.0,0.0,0.0,True
KETOROLAC,0.024983655573400893,0.0230770729368335,0.9002079017834449,True
KLONOPIN,0.0,0.0,0.0,True
LABETALOL,0.09056766418008974,0.06007592489472724,0.7855583174885462,True
LACTATED RINGER,0.05662179002464275,0.04026608961564128,0.6907681037629402,True
LACTULOSE,0.019335014872506245,0.01632442759170373,0.949995846655686,True
LANOXIN,0.0,0.0,0.0,True
LANTUS,0.011956747764608028,0.018905278172144088,1.0,True
LEVAQUIN,0.0,0.0,0.0,True
LEVEMIR,0.0,0.0,0.0,True
LEVETIRACETAM,0.03819669017356051,0.02386825007935202,0.6958736855817367,True
LEVOFLOXACIN,0.0234494724484883,0.018496343221312952,0.9711298609661808,True
LEVOTHYROXINE,0.03999643168052079,0.025141915588601692,0.8346240911495711,True
LIDOCAINE,0.03579210315354443,0.026647936017016618,0.82750798550992,True
LIPITOR,0.0,0.0,0.0,True
LISINOPRIL,0.047711887721740946,0.029909583860746304,0.7354053631679551,True
LISPRO,0.21937880576306137,0.16105715391817674,0.8470616585551382,True
LORATADINE,0.01043075971041867,0.01066208127476867,1.0,True
LORAZEPAM,0.0733083853978103,0.04370095612831203,0.7226195423256281,True
LOSARTAN,0.013385301382857432,0.013672060330908816,1.0,True
MAALOX,0.0,0.0,0.0,True
MAGNESIUM CHLORIDE,0.0,0.0,0.0,True
MAGNESIUM HYDROXIDE,0.06060683153261297,0.06824565276568281,0.6346606147336968,True
MAGNESIUM OXIDE,0.00947939958716167,0.006687142403027642,0.971996950162889,True
MAGNESIUM SULF,0.23166042967337727,0.16814071701161068,0.6295870620268817,True
MAGOX,0.0,0.0,0.0,True
MEDROL,0.0,0.0,0.0,True
MEPERIDINE,0.006983372359177165,0.007628954931633594,1.0,True
MEROPENEM,0.011598555041478836,0.008820099717990242,0.7963788510568492,True
MERREM,0.0,0.0,0.0,True
METFORMIN,0.005867826181057764,0.004974810124136187,0.7093916821691327,True
METHYLPREDNISOLONE,0.03740488515891446,0.02573669570924719,0.9635278363081339,True
METOCLOPRAMIDE,0.05701138493504413,0.03851371521229906,0.8261921409466124,True
METOPROLOL,0.08595121230824371,0.051761746398704844,0.8294210947584308,True
METRONIDAZOLE,0.022220655451930093,0.02091919358720282,0.7266568621748799,True
MIDAZOLAM,0.10266463866872304,0.06341033917782654,0.8052230210438273,True
MIDODRINE,0.0042147483234554394,0.004480825169817445,0.9410258454058148,True
MILK OF MAGNESIA,0.0,0.0,0.0,True
MINERAL,0.026355803345159655,0.041672184067094706,1.0,True
MINERAL OIL,0.0,0.0,0.0,True
MONO-SOD,0.038382091100640836,0.0598709968145492,0.98832207169881,True
MORPHINE,0.07655901000048486,0.04638899124940399,0.6410678256096598,True
MOTRIN,0.0,0.0,0.0,True
MUPIROCIN,0.04711220524702532,0.07449093708696783,1.0,True
NAFCILLIN,0.0,0.0,0.0,True
NALOXONE,0.03890802134864187,0.029124464436542728,0.8711953486023524,True
NARCAN,0.0,0.0,0.0,True
NEOSTIGMINE,0.0,0.0,0.0,True
NEOSTIGMINE METHYLSULFATE,0.0012553351744915894,0.0019848591891591634,1.0,True
NEURONTIN,0.0,0.0,0.0,True
NEXTERONE,0.0,0.0,0.0,True
NICARDIPINE,0.0207081311997683,0.03274243033843156,1.0,True
NICODERM,0.0,0.0,0.0,True
NICOTINE,0.009829493416494675,0.007635359511541327,0.9363498086261859,True
NITRO-BID,0.0,0.0,0.0,True
NITROGLYCERIN,0.1312247730400115,0.1278063112703848,0.8483940152281142,True
NITROPRUSSIDE,0.02992783530036444,0.04732006249377055,1.0,True
NORCO,0.0,0.0,0.0,True
NOREPINEPHRINE,0.05384400748232251,0.040552391060819974,0.8576385009741609,True
NORMODYNE,0.0,0.0,0.0,True
NORVASC,0.0,0.0,0.0,True
NYSTATIN,0.006653276424805422,0.010519753702543565,1.0,True
OMEPRAZOLE,0.08252198494552795,0.06483920304591627,0.9288945457169756,True
ONDANSETRON,0.12177476128805653,0.10073648679926507,0.8248220101374254,True
OPTIRAY,0.0,0.0,0.0,True
OXYCODONE,0.10869374136910549,0.06417530137140605,0.5656296024647575,True
PANTOPRAZOLE,0.1614125831152962,0.1107522594713937,0.8638834346294383,True
PARENTERAL NUTRITION,0.0009943652635067948,0.0015722295294174904,1.0,True
PERCOCET,0.0,0.0,0.0,True
PHENERGAN,0.0,0.0,0.0,True
PHENYLEPHRINE,0.051043112703935765,0.033426451582484196,0.9147157393749649,True
PHYTONADIONE,0.010168214913381872,0.01607735943218923,1.0,True
PIPERACILLIN,0.02896093117432225,0.020370865722281264,0.8038620092182034,True
PLASMA-LYTE,0.0260347129506008,0.041164495576290656,1.0,True
PLAVIX,0.0,0.0,0.0,True
PNEUMOCOCCAL,0.0264410435139941,0.028638689202817605,1.0,True
PNU-IMMUNE-23,0.0,0.0,0.0,True
POLYETHYLENE GLYCOL,0.057616146010516976,0.06181648939692344,0.9478368073207231,True
POTASSIUM CHLORIDE,0.19218271328578174,0.11649542846765963,0.6586037013505159,True
POTASSIUM PHOSPHATE,0.023527149531554725,0.035688914821182915,0.9637928428822552,True
PRAVASTATIN SODIUM,0.008440508653889137,0.011101487041009923,0.8230922714529044,True
PRECEDEX,0.0,0.0,0.0,True
PREDNISONE,0.0222611929553844,0.015003161090506869,0.7911070177900279,True
PRILOCAINE,0.00748195882509111,0.011830015623442637,1.0,True
PRINIVIL,0.0,0.0,0.0,True
PROCHLORPERAZINE,0.027873230901562122,0.042262993077558014,0.9609991860917636,True
PROMETHAZINE,0.012082989890012682,0.012333728538227607,1.0,True
PROPOFOL,0.08057933829727096,0.0545528980124523,0.8341197053683251,True
PULMICORT RESPULE,0.0,0.0,0.0,True
QUETIAPINE,0.007687842357835986,0.007097490027424153,0.9355755631750061,True
REFRESH P.M. OP OINT,0.021770086645910264,0.03442152933014599,1.0,True
REGLAN,0.0,0.0,0.0,True
RESTORIL,0.0,0.0,0.0,True
RINGERS SOLUTION,0.05259854381119759,0.08316560002576898,1.0,True
ROCURONIUM,0.007771566274570855,0.008348622337602845,1.0,True
ROXICODONE,0.0,0.0,0.0,True
SENNOSIDES,0.13727436733639356,0.08332429655785567,0.8119313784934021,True
SEROQUEL,0.0,0.0,0.0,True
SERTRALINE,0.00822469643510115,0.005980446056475617,0.7491893059642964,True
SIMETHICONE,0.0,0.0,0.0,True
SIMVASTATIN,0.0325109313110996,0.01932375336690138,0.770095019158851,True
SODIUM BICARBONATE,0.021762075783060126,0.015035413439846615,0.7486509531291277,True
SODIUM CHLORIDE,0.1691375979966253,0.1187042986001848,0.7207992646406438,True
SODIUM PHOSPHATE,0.01816117120593923,0.01452424670870215,0.878877740592447,True
SODIUM POLYSTYRENE SULFONATE,0.006100344221310293,0.006568658702468134,1.0,True
SPIRONOLACTONE,0.007640888422571407,0.004738683496536005,0.822223847991722,True
SUBLIMAZE,0.0,0.0,0.0,True
SUCCINYLCHOLINE,0.0,0.0,0.0,True
TACROLIMUS,0.010677764327323438,0.011551410009795426,0.7079054654317912,True
TAMSULOSIN,0.016778063159473416,0.011162910727398825,0.7390139271676841,True
THIAMINE,0.03529257108539568,0.03494364276136156,0.8534986967500362,True
TICAGRELOR,0.021629131961844187,0.018340158037104957,0.7072101209581089,True
TIOTROPIUM,0.011038631920537648,0.011509328597263327,1.0,True
TORADOL,0.0,0.0,0.0,True
TRAMADOL,0.03170145776977551,0.021835413113963094,0.6928486966635647,True
TRANDATE,0.0,0.0,0.0,True
TRANSDERM-SCOP,0.0,0.0,0.0,True
TRAZODONE,0.012232344196247465,0.011144435010390958,0.8264308986531687,True
ULTRAM,0.0,0.0,0.0,True
VALIUM,0.0,0.0,0.0,True
VANCOMYCIN,0.10271580119567515,0.061781757930360115,0.7332953715499982,True
VASOPRESSIN,0.0,0.0,0.0,True
VENTOLIN,0.0,0.0,0.0,True
VITAMIN,0.049250968916758966,0.03700461951541789,0.540214109564975,True
WARFARIN,0.01660424183189215,0.011795630931380792,0.6024506825713415,True
XANAX,0.0,0.0,0.0,True
ZESTRIL,0.0,0.0,0.0,True
ZOCOR,0.0,0.0,0.0,True
ZOLPIDEM,0.03576541654165598,0.021127664990032363,0.7922636210899394,True
ZOSYN,0.0,0.0,0.0,True
