,fed
107,meanbp_max
108,diasbp_max
109,heartrate_max
110,wbc_min
111,THIAMINE
112,TAMSULOSIN
113,TACROLIMUS
114,potassium_min
115,platelet_min
116,lactate_min
117,inr_min
118,TRAMADOL
119,TORADOL
120,TIOTROPIUM
121,TICAGRELOR
122,hemoglobin_min
123,glucose_min
124,hemoglobin_last
125,POTASSIUM PHOSPHATE
126,SIMVASTATIN
127,TRANSDERM-SCOP
128,TRANDATE
129,hematocrit_last
130,glucose_last
131,hemoglobin_first
132,glucose_first
133,PREDNISONE
134,PRECEDEX
135,SEROQUEL
136,SIMETHICONE
137,creatinine_first
138,calcium_first
139,bun_first
140,bilirubin_first
141,PROMETHAZINE
142,PRINIVIL
143,PRILOCAINE
144,bicarbonate_first
145,albumin_first
146,bg_baseexcess_first
147,VASOPRESSIN
148,QUETIAPINE
149,PULMICORT RESPULE
150,PROPOFOL
151,bg_ph_first
152,bg_pao2fio2ratio_first
153,bg_paco2_first
154,bg_pao2_first
155,REFRESH P.M. OP OINT
156,spo2_first
157,tempc_first
158,resprate_first
159,RINGERS SOLUTION
160,RESTORIL
161,REGLAN
162,VANCOMYCIN
163,diasbp_first
164,hematocrit_first
165,inr_first
166,calcium_last
167,MINERAL OIL
168,SERTRALINE
169,ROXICODONE
170,ROCURONIUM
171,lactate_first
172,bilirubin_last
173,bicarbonate_last
174,albumin_last
175,HYDROCHLOROTHIAZIDE
176,HUMULIN
177,MILK OF MAGNESIA
178,WARFARIN
179,bg_baseexcess_last
180,IBUPROFEN
181,HYDROMORPHONE
182,HYDROCORTISONE
183,HYDROCODONE
184,bg_pao2fio2ratio_last
185,bg_paco2_last
186,bg_pao2_last
187,spo2_last
188,INFUVITE
189,INFLUENZA VAC
190,IMDUR
191,tempc_last
192,resprate_last
193,meanbp_last
194,sysbp_last
195,IPRATROPIUM
196,IOPAMIDOL
197,IOHEXOL
198,heartrate_last
199,wbc_first
200,sodium_first
201,potassium_first
202,platelet_first
203,bg_ph_max
204,bg_baseexcess_max
205,albumin_max
206,FENTANYL
207,FAT EMULSION
208,GUAIFENESIN
209,HALOPERIDOL
210,MINERAL
211,HEPARIN
212,KAYEXALATE
213,KAYCIEL
214,CLINDAMYCIN
215,CISATRACURIUM
216,CIPROFLOXACIN
217,CHLORHEXIDINE
218,CETIRIZINE
219,FOLIC ACID
220,FLUTICASONE-SALMETEROL
221,ZOCOR
222,ZOLPIDEM
223,FLUMAZENIL
224,FLOMAX
225,FLAGYL
226,FERROUS
227,CEPHULAC
228,CEFTRIAXONE
229,CEFEPIME
230,CEFAZOLIN
231,CATAPRES
232,CARVEDILOL
233,CARDIZEM
234,CALCIUM GLUCONATE
235,HALDOL
236,GLYCOPYRROLATE
237,GLUCOSE
238,GLUCAGON
239,GLUCAGEN
240,GLARGINE
241,GABAPENTIN
242,ZESTRIL
243,CALCIUM CHLORIDE
244,CALCIUM CARBONATE
245,BUMINATE
246,BUMEX
247,BUMETANIDE
248,CITALOPRAM
249,CLONAZEPAM
250,BIOTENE
251,METHYLPREDNISOLONE
252,KLONOPIN
253,LOSARTAN
254,XANAX
255,ULTRAM
256,KEPPRA
257,KETOROLAC
258,CLONIDINE
259,ENOXAPARIN
260,ECOTRIN
261,DOPAMINE
262,DOCUSATE
263,DIPRIVAN
264,DIGOXIN
265,DIAZEPAM
266,MAGNESIUM CHLORIDE
267,LORAZEPAM
268,MAALOX
269,DEXTROSE
270,DEXMEDETOMIDINE
271,DEXAMETHASONE
272,DELTASONE
273,DEFINITY
274,DECADRON
275,COZAAR
276,COREG
277,LORATADINE
278,MAGNESIUM HYDROXIDE
279,METFORMIN
280,MEPERIDINE
281,MEDROL
282,MAGOX
283,MAGNESIUM SULF
284,MAGNESIUM OXIDE
285,COMPAZINE
286,CLOPIDOGREL
287,BISACODYL
288,LANTUS
289,LANOXIN
290,MIDODRINE
291,LACTULOSE
292,LISINOPRIL
293,LISPRO
294,BAYER CHEWABLE
295,bicarbonate_max
296,ACETAMIN
297,race_asian
298,race_hispanic
299,race_black
300,age
301,LIDOCAINE
302,LEVOFLOXACIN
303,LEVETIRACETAM
304,METOPROLOL
305,LEVEMIR
306,LEVAQUIN
307,MIDAZOLAM
308,is_female
309,wbc_max
310,potassium_max
311,platelet_max
312,lactate_max
313,inr_max
314,hemoglobin_max
315,hematocrit_max
316,inr_last
317,HYDRALAZINE
318,AZITHROMYCIN
319,METRONIDAZOLE
320,POLYETHYLENE GLYCOL
321,MERREM
322,MEROPENEM
323,LIPITOR
324,calcium_max
325,bun_max
326,bilirubin_max
327,BMI
328,ADVAIR DISKUS
329,BACITRACIN
330,FAMOTIDINE
331,race_other
332,SENNOSIDES
333,bg_ph_last
334,sodium_min
335,sodium_max
336,ATORVASTATIN
337,ATROVENT
338,ATROPINE
339,ATENOLOL
340,ASPIRIN
341,ASPART
342,ASCORBIC ACID
343,APRESOLINE
344,ANTICOAGULANT
345,AMLODIPINE
346,AMIODARONE
347,AMINOCAPROIC ACID
348,AMBIEN
349,ALUM HYDROXIDE
350,ALTEPLASE
351,ALPRAZOLAM
352,ALBUTEROL
353,ZOSYN
