,fed
113,VITAMIN
114,glucose_first
115,creatinine_first
116,calcium_first
117,bun_first
118,ZOCOR
119,ZESTRIL
120,XANAX
121,WARFARIN
122,bicarbonate_first
123,bg_baseexcess_first
124,lactate_first
125,TACROLIMUS
126,MUPIROCIN
127,VANCOMYCIN
128,ZOLPIDEM
129,bg_ph_first
130,bg_paco2_first
131,bg_pao2_first
132,spo2_first
133,REFRESH P.M. OP OINT
134,QUETIAPINE
135,PULMICORT RESPULE
136,SUBLIMAZE
137,tempc_first
138,resprate_first
139,meanbp_first
140,diasbp_first
141,ROCURONIUM
142,RINGERS SOLUTION
143,RESTORIL
144,REGLAN
145,inr_first
146,platelet_first
147,calcium_last
148,SENNOSIDES
149,SUCCINYLCHOLINE
150,ROXICODONE
151,bg_pao2_last
152,bun_last
153,bilirubin_last
154,bicarbonate_last
155,SODIUM BICARBONATE
156,SIMVASTATIN
157,SIMETHICONE
158,SERTRALINE
159,albumin_last
160,bg_baseexcess_last
161,bg_ph_last
162,bg_pao2fio2ratio_last
163,SPIRONOLACTONE
164,SODIUM POLYSTYRENE SULFONATE
165,SODIUM PHOSPHATE
166,SODIUM CHLORIDE
167,bg_paco2_last
168,spo2_last
169,potassium_first
170,tempc_last
171,MONO-SOD
172,NAFCILLIN
173,MOTRIN
174,SEROQUEL
175,resprate_last
176,HALOPERIDOL
177,meanbp_last
178,diasbp_last
179,sysbp_last
180,heartrate_last
181,bg_pao2fio2ratio_max
182,bg_ph_max
183,HALDOL
184,HYDROMORPHONE
185,HYDROCORTISONE
186,HYDROCODONE
187,HYDROCHLOROTHIAZIDE
188,HYDRALAZINE
189,HUMULIN
190,HEPARIN
191,wbc_first
192,sodium_first
193,bg_paco2_max
194,CALCIUM CARBONATE
195,CEFTRIAXONE
196,CEFEPIME
197,IPRATROPIUM
198,IOPAMIDOL
199,IOHEXOL
200,INSULIN DETEMIR
201,INSULIN
202,INFUVITE
203,INFLUENZA VAC
204,IBUPROFEN
205,CEFAZOLIN
206,CATAPRES
207,CARVEDILOL
208,CARDIZEM
209,CALCIUM GLUCONATE
210,CALCIUM CHLORIDE
211,BUMINATE
212,CETIRIZINE
213,EPHEDRINE
214,ENOXAPARIN
215,ECOTRIN
216,GLUCOSE
217,GUAIFENESIN
218,MORPHINE
219,IMDUR
220,ISOSORBIDE
221,BUMEX
222,BUMETANIDE
223,BISACODYL
224,BIOTENE
225,BAYER CHEWABLE
226,BACITRACIN
227,AZITHROMYCIN
228,ATROVENT
229,FENTANYL
230,FAT EMULSION
231,FAMOTIDINE
232,ETOMIDATE
233,EPINEPHRINE
234,CEPHULAC
235,CHLORHEXIDINE
236,bg_baseexcess_max
237,DECADRON
238,DILTIAZEM
239,DIGOXIN
240,DIAZEPAM
241,DEXTROSE
242,GLARGINE
243,GABAPENTIN
244,FOLIC ACID
245,FLUTICASONE-SALMETEROL
246,FLUMAZENIL
247,FLOMAX
248,FERROUS
249,GLYCOPYRROLATE
250,DEXMEDETOMIDINE
251,DEXAMETHASONE
252,DELTASONE
253,DEFINITY
254,COZAAR
255,CIPROFLOXACIN
256,COREG
257,COMPAZINE
258,MAGNESIUM OXIDE
259,KEPPRA
260,KETOROLAC
261,KAYCIEL
262,KAYEXALATE
263,FLAGYL
264,GLUCAGON
265,GLUCAGEN
266,CLOPIDOGREL
267,CLONIDINE
268,CLONAZEPAM
269,CLINDAMYCIN
270,CITALOPRAM
271,MAGNESIUM CHLORIDE
272,MERREM
273,MEROPENEM
274,MEPERIDINE
275,MEDROL
276,MAGOX
277,MAGNESIUM SULF
278,CISATRACURIUM
279,ATROPINE
280,ATORVASTATIN
281,ATENOLOL
282,lactate_max
283,race_black
284,age
285,MIDAZOLAM
286,METRONIDAZOLE
287,METOPROLOL
288,METOCLOPRAMIDE
289,METFORMIN
290,is_female
291,wbc_max
292,sodium_max
293,potassium_max
294,platelet_max
295,inr_max
296,ASPIRIN
297,MAGNESIUM HYDROXIDE
298,MAALOX
299,METHYLPREDNISOLONE
300,MINERAL OIL
301,MINERAL
302,MILK OF MAGNESIA
303,MIDODRINE
304,hemoglobin_max
305,hematocrit_max
306,glucose_max
307,calcium_max
308,bicarbonate_max
309,albumin_max
310,LEVAQUIN
311,LANTUS
312,LANOXIN
313,LACTULOSE
314,LACTATED RINGER
315,LABETALOL
316,KLONOPIN
317,LORAZEPAM
318,race_hispanic
319,race_asian
320,race_other
321,electivesurgery
322,LISPRO
323,LISINOPRIL
324,LIPITOR
325,LIDOCAINE
326,LEVOTHYROXINE
327,LEVEMIR
328,LEVETIRACETAM
329,LOSARTAN
330,ASPART
331,ASCORBIC ACID
332,APRESOLINE
333,ANTICOAGULANT
334,AMLODIPINE
335,AMIODARONE
336,AMINOCAPROIC ACID
337,AMBIEN
338,bg_pao2fio2ratio_first
339,bilirubin_max
340,TAMSULOSIN
341,heartrate_first
342,LEVOFLOXACIN
343,LORATADINE
344,ALUM HYDROXIDE
345,ALTEPLASE
346,ALPRAZOLAM
347,ALLOPURINOL
348,ALBUTEROL
349,ALBUMIN
350,ADVAIR DISKUS
351,ACETAMIN
352,BMI
353,ZOSYN
