,fed
253,PRAVASTATIN SODIUM
254,MAGNESIUM OXIDE
255,INSULIN DETEMIR
256,INFUVITE
257,BUMETANIDE
258,BACITRACIN
259,SERTRALINE
260,NYSTATIN
261,MEPERIDINE
262,METFORMIN
263,IBUPROFEN
264,GLYCOPYRROLATE
265,CIPROFLOXACIN
266,ATENOLOL
267,DEFINITY
268,DELTASONE
269,PRINIVIL
270,CLINDAMYCIN
271,DOPAMINE
272,COMPAZINE
273,DIPRIVAN
274,COREG
275,SIMETHICONE
276,APRESOLINE
277,RESTORIL
278,SEROQUEL
279,PULMICORT RESPULE
280,COZAAR
281,ASCORBIC ACID
282,ROXICODONE
283,DECADRON
284,REGLAN
285,LIPITOR
286,CISATRACURIUM
287,ULTRAM
288,BAYER CHEWABLE
289,ZOCOR
290,ZESTRIL
291,XANAX
292,ATROVENT
293,VENTOLIN
294,VASOPRESSIN
295,BUMEX
296,VALIUM
297,BUMINATE
298,SUBLIMAZE
299,TRANSDERM-SCOP
300,TRANDATE
301,CARDIZEM
302,TORADOL
303,CATAPRES
304,CEPHULAC
305,CETIRIZINE
306,ECOTRIN
307,SUCCINYLCHOLINE
308,PLAVIX
309,PRECEDEX
310,EPHEDRINE
311,NEURONTIN
312,NEOSTIGMINE
313,NARCAN
314,IMDUR
315,NAFCILLIN
316,MOTRIN
317,IOHEXOL
318,MINERAL OIL
319,MILK OF MAGNESIA
320,KAYCIEL
321,KAYEXALATE
322,KEPPRA
323,KLONOPIN
324,LANOXIN
325,MERREM
326,LEVAQUIN
327,MEDROL
328,MAGOX
329,LEVEMIR
330,MAGNESIUM CHLORIDE
331,NEXTERONE
332,NICODERM
333,NITRO-BID
334,PHENERGAN
335,EPINEPHRINE
336,FAT EMULSION
337,PNU-IMMUNE-23
338,AMBIEN
339,MAALOX
340,FLAGYL
341,FLOMAX
342,FLUMAZENIL
343,GLUCAGEN
344,PERCOCET
345,PARENTERAL NUTRITION
346,HALDOL
347,OPTIRAY
348,ADVAIR DISKUS
349,HUMULIN
350,NORVASC
351,NORMODYNE
352,NORCO
353,ZOSYN
